Age,Current CGPA,Current Semester
24,3.15,12
22,3.15,4
21,3.15,5
20,3.15,4
22,3.15,4
20,3.15,4
22,3.15,4
22,3.64,4
20,3.15,4
22,3.15,4
22,3.15,4
22,3.53,4
22,3.15,4
21,3.15,4
21,3.15,4
20,3.89,4
22,3.15,4
21,3.15,4
21,3.5,4
19,3.15,4
21,3.65,4
21,3.15,4
22,3.15,4
21,3.15,4
21,3.81,4
20,3.82,4
20,3.15,4
19,3.48,4
21,3.32,4
25,3.15,4
20,3.15,2
20,3.15,2
21,3.15,2
23,3.15,4
20,3.15,2
20,3.15,2
21,3.15,2
24,3.15,11
20,3.15,2
22,3.15,2
20,3.15,2
21,3.15,2
21,3.15,2
19,3.15,2
19,3.15,2
19,3.15,2
20,3.15,2
19,3.15,2
20,3.88,4
20,3.15,2
21,3.15,2
21,4,2
21,3.15,2
20,3.9,2
20,3.15,2
22,3.15,2
20,3.15,2
20,3.15,2
20,3.15,2
20,3.15,2
20,3.15,2
21,3.15,4
23,3.15,11
21,3.8,8
21,3.15,8
24,3.52,12
22,3.15,8
21,3.15,2
20,3.15,2
21,3.15,8
21,3.15,2
23,3.15,8
20,3.15,2
21,3.15,8
24,3.15,12
22,3.15,8
21,3.15,8
20,3.15,2
20,3.15,2
20,3.67,8
21,2.74,8
21,3.15,8
21,3.5,8
22,2.8,8
22,3.15,8
23,3.15,8
23,3.15,8
21,3.15,2
22,3.15,8
21,3.15,8
20,3.15,8
21,3.15,2
23,3.1,11
20,3.15,2
24,3.15,10
21,3.15,2
20,3.15,4
22,3.15,4
20,3.15,5
23,3.15,11
21,3.15,8
20,3.15,2
22,3.15,8
23,3.15,13
20,3.15,2
19,3.58,4
21,3.82,4
21,3.15,8
22,3.15,10
19,3.15,2
22,3.15,4
22,3.15,4
21,2.69,9
19,3.77,4
19,3.15,2
21,3.15,2
25,2.53,11
22,3.15,9
24,2.66,13
22,2.6,15
22,2.91,11
23,2.99,14
20,3.15,5
23,3.15,9
26,3.15,21
22,3.15,9
23,2.92,9
21,3.15,11
22,3.15,11
23,2.96,14
21,3.15,11
20,3.15,2
21,3.15,9
22,2.9,9
23,3.08,8
25,3.15,11
22,3.15,11
20,3.15,6
25,2.68,14
21,2.42,5
20,3.15,4
27,3.15,10
22,3.15,11
20,3.15,2
22,3.15,7
21,3.15,2
23,3.15,13
23,3.15,8
25,3.15,8
20,3.15,2
21,3.15,4
26,3.15,22
23,3.23,11
22,3.15,11
23,3.15,12
24,3.15,15
21,3.15,8
22,2.22,9
19,3.15,2
