seed,alpha,accuracy,precision,recall,f1,roc_auc
42,0.0,0.6050420168067226,0.5989445910290238,0.7322580645161291,0.6589259796806967,0.6440023894862604
42,0.25,0.6084033613445378,0.6001734605377277,0.7440860215053764,0.6644263082093135,0.6450059737156512
42,0.5,0.6123249299719888,0.601018675721562,0.7612903225806451,0.6717267552182163,0.6451430547695403
42,0.75,0.6089635854341736,0.5965058236272879,0.7709677419354839,0.6726078799249531,0.6440225114758222
42,1.0,0.6061624649859944,0.5928045789043336,0.7795698924731183,0.6734788666976312,0.6419939634031315
123,0.0,0.6184873949579832,0.6070507308684436,0.7591397849462366,0.674629718107979,0.6549701314217444
123,0.25,0.6179271708683474,0.6056218057921635,0.7645161290322581,0.6758555133079848,0.6555077658303465
123,0.5,0.6184873949579832,0.6061381074168798,0.7645161290322581,0.6761768901569187,0.6555429793120795
123,0.75,0.611764705882353,0.6006796941376381,0.7602150537634409,0.6710963455149501,0.6540325724706031
123,1.0,0.6106442577030813,0.5991561181434599,0.7634408602150538,0.6713947990543735,0.6519147330692322
456,0.0,0.5983193277310924,0.5903307888040712,0.7483870967741936,0.6600284495021337,0.6378714707916745
456,0.25,0.5977591036414566,0.5887772194304858,0.7559139784946236,0.6619585687382298,0.6376256052317173
456,0.5,0.6,0.5892561983471074,0.7666666666666667,0.6663551401869159,0.6366584921084072
456,0.75,0.5977591036414566,0.587893864013267,0.7623655913978494,0.6638576779026217,0.6344123750235805
456,1.0,0.5949579831932773,0.5850451930977815,0.7655913978494624,0.6632510479739171,0.6312532226623908
789,0.0,0.5826330532212886,0.5829596412556054,0.6989247311827957,0.6356968215158925,0.624052065647991
789,0.25,0.5882352941176471,0.5872873769024172,0.7053763440860215,0.6409379579872985,0.6251135005973716
789,0.5,0.5882352941176471,0.5859030837004405,0.7150537634408602,0.6440677966101694,0.6251851851851852
789,0.75,0.5820728291316527,0.5802792321116929,0.7150537634408602,0.640655105973025,0.6245400238948626
789,1.0,0.5815126050420169,0.5796344647519582,0.7161290322580646,0.6406926406926406,0.6234182229767968
2026,0.0,0.5887955182072829,0.5836177474402731,0.7354838709677419,0.6508087535680305,0.6298031817895995
2026,0.25,0.5893557422969188,0.5818786367414797,0.7526881720430108,0.6563525550867323,0.628145632899453
2026,0.5,0.5910364145658263,0.5834724540901502,0.7516129032258064,0.6569548872180451,0.6254844997799158
2026,0.75,0.5899159663865546,0.581953642384106,0.7559139784946236,0.6576239476145931,0.6225995095265044
2026,1.0,0.5831932773109244,0.5764802631578947,0.7537634408602151,0.6533084808946877,0.619022825881909
