model,k,silhouette,davies_bouldin,calinski_harabasz,smallest_test_cluster,smallest_test_cluster_pct,stability_ari,heldout_log_likelihood
KMeans,2,0.3547510452331677,1.0883476695143508,142.80302883642725,106,44.72573839662447,1.0,
GMM-spherical,2,0.5962784478255075,0.3975521307703783,61.12681307369262,7,2.9535864978902953,0.4447365804881651,-4.0121688630762256
KMeans,3,0.41875218563500155,0.7845828286410305,171.80796129512754,9,3.79746835443038,1.0,
GMM-spherical,3,0.4187869959458355,0.7599047094202942,170.2239227582668,8,3.375527426160337,1.0,-3.6521308329646396
KMeans,4,0.3944403413724161,0.8301277347343742,201.68596171159456,9,3.79746835443038,1.0,
GMM-spherical,4,0.393977652337193,0.8128608036634634,200.1026509348816,8,3.375527426160337,0.9818923329965067,-3.4888784057937317
KMeans,5,0.35398694399158837,0.9920837608011543,187.555651483798,9,3.79746835443038,0.9887813154340812,
GMM-spherical,5,0.3511416357376679,0.9883137195418964,186.13987649271456,8,3.375527426160337,0.9164104222686585,-3.430718059192551
KMeans,6,0.3291137738258113,1.0707483650663157,181.40858189558153,9,3.79746835443038,0.8893380327888156,
GMM-spherical,6,0.3391754484124443,0.9551806162000674,171.1177926004559,8,3.375527426160337,0.968858985255872,-3.4322243132320405
